title,summary,slug,locale,body,published_on
Запрошення на Третій Мегамарш у вишиванках в Токіо (2015),"<p>Вже 24 травня в центрі Токіо, район Ґінза, відбудеться Третій Мегамарш у вишиванках в Токіо.</p>

<p></p>",parade-2015-pre,uk,"<p>Вже 24 травня в центрі Токіо, район Ґінза, відбудеться Третій Мегамарш у вишиванках в Токіо.</p>

<p></p>

<p>Враховуючи неодноразову підтримку та допомогу Японії Україні, цьогорічний парад присвячений дружбі та взаємопідтримці між країнами.</p>

<p>Урочиста хода розпочнеться з парку Мізутанібаші (збір о 14.00), що розташований неподалік станції Ґінза та Токіо, та попрямує центральними вулицями столиці у напрямку парку Хібія. За традицією, захід продовжиться спілкуванням та співом українських пісень у парку. Організатори заходу – спільнота українців в Японії «Краяни» вдячні за підтримку Посольству України в Японії та місії Української Православної Церкви Київського Патріархату.</p>

<p>Запрошуємо всіх бажаючих приєднатися до акції у події на <a target=""_blank"" href=""https://www.facebook.com/events/1611268485777631/"">Фейсбук</a>.</p>

<p><a target=""_blank"" href=""https://bit.ly/TokyoUkraineParade"">Маршрут параду</a></p>

<p>В Токіо мегамарш у вишиванках вперше відбувся у 2013 році за ініціативи українських студентів Токійського аграрного університету. У 2013 році захід зібрав більше 70 українців, які проживають в Японії, а також японців, яким цікава та небайдужа Україна. Маршрут пролягав через відоме перехрестя на станції Шібуя та площу Хачіко.</p>

<p>Традиція підтрималась і в 2014 році зібравши понад 120 українців, японців та громадян інших країн в центрі Токіо, неподалік від урядового кварталу та Імператорського палацу, виразивши свою підтримку Україні в неспокійні часи.</p>

<ul>
  <li><a target=""_blank"" href=""https://www.facebook.com/events/1611268485777631/"">Подія на Facebook</a> (українською, англійською та японською)</li>
  <li><a target=""_blank"" href=""https://japan.mfa.gov.ua/ua/press-center/photos/510-megamarsh-u-vishivankah-vpershe-u-centri-tokio"">Фотографії з Мегамаршу у вишиванках у 2013 році</a></li>
  <li><a target=""_blank"" href=""https://www.facebook.com/media/set/?set=a.1594354104124193.1073741831.1496798463879758&amp;type=3"">Фотографії з Мегамаршу у вишиванках у 2014 році</a></li>
</ul>
",2015-05-10
Українська мова як іноземна для дорослих,"<p>Запрошуємо на курс вивчення української мови  як іноземної до нашої школи Джерельце. Ви матимете нагоду не тільки вивчати мову на уроках, але й спілкуватись з носіями мови в позаурочний час та брати участь у всіх цікавих заходах школи, пов'язаних з українськими традиціями та культурою.</p>

<p></p>",ukrainian-language-classes,uk,"<p>Запрошуємо на курс вивчення української мови  як іноземної до нашої школи Джерельце. Ви матимете нагоду не тільки вивчати мову на уроках, але й спілкуватись з носіями мови в позаурочний час та брати участь у всіх цікавих заходах школи, пов'язаних з українськими традиціями та культурою.</p>

<p></p>

<p>Уроки проводяться два рази на місяць по 1 годині за розкладом школи Джерельце.</p>

<p>Час проведення: за домовленістю з класом.</p>

<p>Вартість: перший пробний урок безкоштовно.</p>

<p>вхідні: <code>5000 єн</code>
рік: <code>40 000 єн</code>
півроку: <code>25 000 єн</code></p>

<p>Не пропустіть свій шанс.
Для бажаючих відвідати школу просимо <a href=""https://docs.google.com/forms/d/e/1FAIpQLSdq1adWJCotCYHi5Q2DotDA-lnn434pvqWz2pWO-4bN2lFTgQ/viewform"">заповнити анкету</a>.</p>
",2022-09-02
NPO Kraiany Ukrainian cooking class in Dzherelce school,"<p>Today there was a first lesson in the Ukrainian school Dzherelce. It was
unusual and successful.</p>

<p></p>",cooking-class,en,"<p>Today there was a first lesson in the Ukrainian school Dzherelce. It was
unusual and successful.</p>

<p></p>

<p>Parents and teachers actively participated in the preparation of NPO
Kraiany for special holiday cooking class. Various Christmas Ukrainian
dishes were interesting not only for Japanese guests. Young Ukrainians
leaving in Tokyo and vicinity also participated in the class and have
learned to cook by the recipes by our hosts.</p>

<p>Christmas attributes – vertep, christmas pavuk (spider), didookh –
that were prepared by our hosts also caused huge interest among our
guests. But the biggest surprize was caused by performance of the
children and teachers of the Dzherelce sschool. They performed
traditional Ukrainian kolyadky (carols) and, of course, received presents.</p>

<p>Happy New Year and Happy Christmass to everyone! Happiness, health,
prosperity for every family ond glogy and victory to our Motherland Ukraine!</p>

<!--  LocalWords:  Dzherelce READMORE NPO Kraiany
 -->
",2022-01-09
"""Ukraine. Food and History"" book in Japanese","<p>After months of close cooperation between the Ukrainian Institute, the team of translators, Shogakukan CODEX and NPO KRAIANY, this wonderful book <a href=""https://amzn.asia/d/47c71i2"">""Ukraine. Food and History""</a> has been published in Japanese.</p>

<p></p>",ukraine-food-and-history-book,en,"<p>After months of close cooperation between the Ukrainian Institute, the team of translators, Shogakukan CODEX and NPO KRAIANY, this wonderful book <a href=""https://amzn.asia/d/47c71i2"">""Ukraine. Food and History""</a> has been published in Japanese.</p>

<p></p>

<p>Part of the proceeds from the sale of this book will go humanitarian projects in Ukraine organized by NPO KRAIANY. So with the purchase of this book, you can not only familiarize yourself with our wonderful traditional cuisine, table manners and traditions, but also support the victims of the horrendous war crimes.</p>

<p>The work was truly fascinating, but not without its challenges. First, we wanted to convey the names as closest to the Ukrainian sound.  Second, not all ingredients can be found in Japanese stores. And most of all - finding replacement products that can still give the similar taste and to describe the process of their preparation.</p>

<p>Many thanks to everyone who contributed to this project!! It’s been truly an honor to be given the opportunity to work on this project.</p>

<p><a href=""https://amzn.asia/d/47c71i2"">You can pre-order on Amazon</a>.</p>

<p><img src=""/assets/images/news/2022-12-04-ukraine-food-and-history-book/01-11b09070.jpg"" alt=""З історії української кухні"" />
<img src=""/assets/images/news/2022-12-04-ukraine-food-and-history-book/02-7e42f178.jpg"" alt=""Food and History ウクライナの料理と歴史"" /></p>
",2022-12-04
Свято Миколая для маленьких українських та японських дітей.,"<p>Всі з нетерпінням чекали 19 грудня! Маленькі поглядали десь на хмарки,
чи слідкує за ними Святий Миколай, старші готувалися старанно з матусями
і вчителями до свята - проводили репетиції, писали листи та готували
костюми та декорації.</p>

<p>Зранку всі ...</p>",mykolaya,uk,"<p>Всі з нетерпінням чекали 19 грудня! Маленькі поглядали десь на хмарки,
чи слідкує за ними Святий Миколай, старші готувалися старанно з матусями
і вчителями до свята - проводили репетиції, писали листи та готували
костюми та декорації.</p>

<p>Зранку всі дуже хвилювались, адже цього року Святий Миколай завітав з
України не тільки до наших чемних Джерельцят!</p>

<p>Більше тридцяти японських діток познайомились з ним. Всі разом
розписували миколайчиків, насолодились чудовою виставою, підготованою
учнями та вчителями Джерельця та хореографічно-театральною студією
ДуКаЧі, погрались з Миколаєм та отримали подарунки! Всі були у захваті і
це найголовніше! Адже тепер і діти, і дорослі мають нових друзів,
дізнались про Україну та про свято! І бажання усіх, звичайно ж,
здійсняться! Мріймо і все буде добре!</p>

<p>Веселих зимових свят!</p>
",2021-12-19
ウクライナのサンタ2022(スヴャティ・ミコライ) 開催のお知らせ,"<p>12月18日にスヴャティ・ミコライ（ウクライナのサンタ）２０２２のイベントを千代田区で開催いたします！</p>

<p></p>",mykolay-2022,ja,"<p>12月18日にスヴャティ・ミコライ（ウクライナのサンタ）２０２２のイベントを千代田区で開催いたします！</p>

<p></p>

<p>おもちゃは好きですか？プレゼントは好きですか？白い髭をはやし、トナカイに乗って子供達におもちゃを配る世界中で有名なおじいさんは、みなさんご存知ですよね♪ ウクライナのサンタは「スヴャティ‧ミコライ」と呼ばれ、子供たちは12月18日に枕の下にプレゼントをもらいます。</p>

<p>プレゼントは一年中いい子にしていた子どもだけが貰えます。</p>

<p>子供たちのみなさんは最近、お手伝いをしましたか？たくさん良いことをしましたか？</p>

<p>みなさん、ぜひ「聖ミコラス祭」へご参加ください♪</p>

<p>当日のプログラム:</p>

<ul>
  <li>「ミコライチキ」というウクライナの昔ながらのレシピのクッキーをチョコでデコレーション</li>
  <li>ウクライナ日曜学校「ジェレリツェ」と振付スタジオ「ドゥカチ」の生徒による、ウクライナの民話「てぶくろ」に基く音楽パフォーマンスの初演 (日本語とウクライナ語)</li>
  <li>楽しいゲーム、そしてミコライからのプレゼント！</li>
  <li>記念撮影</li>
</ul>

<p>このイベントは、NPO KRAIANY、 ウクライナ日曜学校「ジェレリツェ」、 「ドゥカチ」 がライオンズクラブ国際協会330-A地区,　一般財団法人主婦会館プラザエフとのご協力、在日ウクライナ大使館からのご支援のもとで開催されます。</p>

<p>皆さんとお友達のお越しを心よりお待ちしています！ 一緒に楽しみましょう!</p>

<p>開催日: 12月18日 (日) <br />
時間: 11:00~14:00 (受付10:30〜) <br />
参加費: 子供一人3,000円　(両親は無料) <br />
場所：〒102ー0085 東京都千代田区六番町15番地 <br />
一般財団法人主婦会館（プラザエフ）B２ <br /></p>

<p>チケット購入方法</p>

<p>12月8日(月)までに下記口座に参加者氏名で事前に振り込みお願いします。</p>

<p>三菱UFJ 銀行 (Mitsubishi UFJ) <br />
Branch 品川駅前支店 588 <br />
Account type 普通 <br />
Account number 0516596 <br />
Name トクテイヒエイリカツドウホウジン　ニホンウクライナユウコウキヨウカイクラヤヌイ <br /></p>

<p>振り込みが完了しましたらcontact@kraiany.org宛にemailで
メールの件名: ミコライ2022</p>

<p>本文: お子様全員の氏名と年齢をお送り下さい。</p>

<p>※新型コロナウィルスの感染予防の実施とソーシャルディスタンスを心がけましょう。</p>
",2022-11-25
「第７回東京ウクライナ・パレード」のお知らせ,"<p>日本の皆様にウクライナの文化に少しでも触れていただくため、第７回東京ウクライナ・パレードの開催を決定いたしました。</p>

<p></p>",parade-2019,ja,"<p>日本の皆様にウクライナの文化に少しでも触れていただくため、第７回東京ウクライナ・パレードの開催を決定いたしました。</p>

<p></p>

<p>日本在住のウクライナ人を中心とし、その友人や知人を招き、例年通り駐日ウクライナ大使イーホル・ハルチェンコ氏にも参加いただきまして、例年を越える盛大なパレードをお見せできることと思います。</p>

<ul>
  <li>第７回東京ウクライナ・パレード</li>
  <li>日時：5月19日（日）</li>
  <li>集合時間：午後1時半</li>
  <li>集合場所：常盤公園 （東京都中央区日本橋本石町4-4-3）</li>
  <li>パレード経路： 常盤公園ー銀座駅ー日比谷公園  <a target=""_blank"" href=""https://bit.ly/UkraineParadeInTokyo"">https://bit.ly/UkraineParadeInTokyo</a></li>
  <li>参加料： 無料</li>
</ul>

<p>ウクライナ・パレードは、参加者がウクライナの民族衣装「ヴィシヴァンカ」に身を包み行進するイベントです。ウクライナ国内各地だけでなく、それ以外の世界中様々な国でも、現地在住のウクライナ人によって大小様々なパレードが行われています。　</p>

<p>日本では2013年に第１回が開催され、以後毎年、途切れることなく開催し続けてきました。</p>

<p>今年も昨年まで同様、多数の参加者がウクライナの民族衣装を身にまとい、パレードの場へと集まることと思います。
　
当日の予定は、常盤公園に13:30に集合、14:00に出発し、東京の中心部である銀座を通って日比谷公園へと練り歩くというものです。色取り取りの民族衣装に身を包み、街中を行進する姿を見た皆様が、祖国ウクライナの伝統文化に興味を持って下さればと願っております。</p>

<p>主催団体の我々”在日ウクライナ人コミュニティ “Kraiany”は様々な形で支援を行ってくれた駐日ウクライナ大使館およびキエフ総主教座管轄在日ウクライナ正教会に感謝を申し上げるとともに、今年もまた、平和的かつ未来志向のイベントとしてのヴィシュヴァンカ・パレードを通じ日本在住ウクライナ人と、日本に住む全ての皆様の友好がより深まることを願っております。</p>

<p><a href=""https://www.facebook.com/events/2278051682450891/"" target=""_blank"">Facebookイベントページ</a></p>
",2019-05-14
2人の負傷兵がリハビリのために到着,"<p>治療のため、2名の負傷兵が日本に到着しました。受け入れてくださった日本政府に心から感謝しています。</p>

<p></p>",rehabilitation,ja,"<p>治療のため、2名の負傷兵が日本に到着しました。受け入れてくださった日本政府に心から感謝しています。</p>

<p></p>

<p>NPO KRAIANYはビザの手配、ウクライナからの日本までの移動、日本で病院での手続き等をサポートさせていただきました。</p>

<p>引き続き円滑にリハビリを実施する事が可能になるよう最大限支援していきます</p>

<p><a href=""https://twitter.com/NPO_KRAIANY/status/1666947834971852800"">Twitter</a></p>

<p><img src=""/assets/images/news/2023-06-09-rehabilitation-d009677a.jpeg"" alt="""" /></p>
",2023-06-09
Two months of work by prosthetists and rehabilitators,"<p>We were preparing for this project for a very long time. But now we are ready to talk about amazing results of the work!</p>

<p></p>",prostatic,en,"<p>We were preparing for this project for a very long time. But now we are ready to talk about amazing results of the work!</p>

<p></p>

<p>(Videos in <a href=""https://www.facebook.com/ukrainians.japan/posts/pfbid02txvknMq1pPaVMWZdoc8tq2dG9h7QgzGBgSRUc4YMzJZ43uJvRXnq1Qnt9PnzYAFbl"">the comments for the post</a>).</p>

<p>Almost twom months of the non-stop work of the amazing prosthetists and rehabilitators in Mie-ken in collaboration with NPN SanPanSa and our team from Kraiany bring closer dreams of our ""Kitties"" to reaturn to full life. Motivated, positive, hard workers have considerable success, surprising us and the doctors with the pace of rehabilitation!</p>

<p>This dream would not have been possible for them without the tireless work of Oleksandr Sokolenko among his fellow doctors, without the curatorship of the project by the NPO Kraiany Sofia Kataoka, without close cooperation with the NPO SanPanSa and, of course, without you, our benefactors. After all, it is carried out at your expense - caring people who support Ukraine, bring our victory and peace closer! A low bow to all of you!</p>

<p>Fundraising ends in a day. But the project will last as long as help is needed.</p>

<p><strong>We will win!</strong></p>

<p><strong>We will restore our land!</strong></p>

<p><a href=""https://readyfor.jp/projects/sunpansa01"">https://readyfor.jp/projects/sunpansa01</a></p>

<hr />

<p><img src=""/assets/images/news/2023-05-25-prostatic/photo1-bd1e2dde.jpg"" alt="""" />
<img src=""/assets/images/news/2023-05-25-prostatic/photo2-b260f3ef.jpg"" alt="""" />
<img src=""/assets/images/news/2023-05-25-prostatic/photo3-24fe4111.jpg"" alt="""" />
<img src=""/assets/images/news/2023-05-25-prostatic/photo4-c59cb503.jpg"" alt="""" /></p>
",2023-05-25
InterFM новини українською (випуск 4-6 травня 2022),"<p>Слава Україні! Доброго дня, шановні слухачі Inter FM, Вас вітає
українська громада в Японії “Краяни”. Продовжуємо тему про безкоштовні
ресурси вивчення японської мови.</p>

<p></p>",news,uk,"<p>Слава Україні! Доброго дня, шановні слухачі Inter FM, Вас вітає
українська громада в Японії “Краяни”. Продовжуємо тему про безкоштовні
ресурси вивчення японської мови.</p>

<p></p>

<p>Якщо Ви нещодавно приїхали чи збираєтесь їхати в Японію, швидко вивчити
фрази японською для повсякденного життя Вам допоможуть уроки японської
на NHK World Japan. З квітня 2022 року уроки  Easy Japanese (Початкова
японська)  стали доступні і українською мовою.</p>

<p><a href=""https://www3.nhk.or.jp/nhkworld/uk/ondemand/video/6022001/"">Уроки Easy Japanese (Початкова японська)</a></p>

<p>Також в розділі Japanese/Японська можна знайти багато різноманітних навчальних відео для повсякденного життя. На даний момент з поясненням англійською.</p>

<p>Додаток NHK World Japan можна завантажити на телефон чи IPad з Apple store, чи Google play, чи потрапити на сторінку, знайшовши її в Інтернет просторі, та дивитись і слухати уроки в зручний для Вас час. В вільному доступі також є підручники для вивчення початкової японської, котрі теж можна завантажити на свій пристрій.</p>

<p>Про підтримку переселенців місцевими муніципалітетами Японії.</p>

<p>Деякі японські муніципалітети почали надавати консультаційні послуги для українців, яким довелося евакуюватися у Японію в результаті російського вторгнення не тільки японською чи англійською, а і українською мовами. Службовці допомагають з вирішенням проблем житла, медичної допомоги та інших питань, пов'язаних з повсякденним життям.</p>

<p>На сторінці спільноти Краяни Ви можете знайти лист з інформацією консультаційних центрів для іноземців по всій Японії, номери телефонів куди звертатись. Веб сторінки багатьох центрів підтримуються Гугл-перекладачем з японської на українську. Автоматичний переклад сторінки на українську можна переключити вибравши в розділі мова(言語/げんご、автоматично може стояти японська日本語/にほんご) →вибрати інші(他/ほか)→вибрати українська(ウクライナ語/ウクライナご).</p>

<p>Також детальніше в інформації по кожному центру можна дізнатись в яких саме центрах вже є україномовна підтримка. З кінця квітня консультацію українською мовою можна отримати за попереднім записом в консультаційних центрах для іноземців префектур Саппоро, Саітама, Чіба, Токіо, Йокогама , Нагано, Гіфу, Шідзуока, Кіото, Осака, Хйого, Токушіма, Ехіме, Сага, Нагасакі, Кумамото, Кагошіма. В інших центрах також ведуть підготовку по можливості надання консультацій українською.</p>

<p>Більш детальну інформацію дивіться безпосередньо на сайті спільноти Краяни.</p>

<h3 id=""section"">Про найближчі події.　今後のイベントについて</h3>

<h4 id=""section-1"">По містах Японії низкою проходять благодійні концерти в підтримку України талановитої співачки та бандуристки Наталії Ґудзій.</h4>

<p>На цьому тижні заплановано декілька концертів в Токіо, а вже цієї неділі  8го травня джерельним голосом Наталії Ґудзій можна буде насолодитись в місті Нагано.</p>

<p>Наталя народилась в Україні, та проживала з родиною недалеко від Чорнобильської атомної електростанції, де і працював її батько. Після вибуху Чернобильської АС родині довелося евакуюватися до Києва.</p>

<p>Захопившись грою на  українському народному  інструменті  Бандурою, Наталя з восьми років навчалася у музичній школі.
Ще дитиною,  як учасник народної музичної групи,  вона  двічі відвідала Японію з виступами по всій країні.</p>

<p>З 2000 року Наталя розпочала широку музичну діяльність в Японії.</p>

<p>Детальну інформацію про співачку, розклад концертів можна дізнатись за офіційним посиланням на сторінках Interfm та громади Краяни, чи безпосередньо на веб-сторінці Наталії Ґудзій.</p>

<p><a href=""https://www.office-zirka.com/CFU47/?fbclid=IwAR0sM6DRWzVj0-rl3x_WHh7wv8hlCoAtegZQ4Yygu1_Knwqn2wJ8ybIHqwk"">Веб-сторінка співачки Наталії Ґудзій</a></p>

<h4 id=""section-2"">У неділю 14 го травня відбудеться ще один захід на підтримку України, на цей раз в місті Чіба.</h4>

<p>Захід організовує компанія Rain Colors, за сприяння компанії Jump for the Positive Future, підтримці Мерії міста Чіба, Посольства України в Японії та активної участі в організації спільноти Краяни.
Захід відбудеться в приміщеннях відкритого в жовтні 2021 го року TIPSTAR DOME, поблизу станції Чіба.
На заході відвідувачів очікує виставка українського вбрання, авторських робіт українських фотографів та художників, благодійна виставка - продаж товарів українських виробників та рукодільниць, показ фільму “Соняхи”  (“ひまわり”).</p>

<p>Детальну інформацію стосовно заходу можна дізнатись за посиланням на сайті Inter FM, сайті спільноти Краяни, Фейсбук сторінках Краяни та інших українських спільнот.</p>

<p><a href=""https://himawari-chiba.com/"">Захід  в підтримку України в місті Чіба 14-го травня</a></p>

<p>Запрошуємо всіх бажаючих. 　皆さんようこそ</p>

<p>Бажаємо Вам гарного дня! До нових зустрічей на Inter FM.</p>

<h2 id=""section-3"">Інформація про веб сайти</h2>

<ul>
  <li><a href=""https://www.kraiany.org/uk/"">Громада Українці в Японії ""Краяни""</a>
    <ul>
      <li><a href=""https://www.facebook.com/groups/371541230835/?ref=share"">facebook</a></li>
    </ul>
  </li>
  <li>
    <p><a href=""https://www3.nhk.or.jp/nhkworld/uk/ondemand/video/6022001/"">Уроки Easy Japanese (Початкова японська)</a></p>
  </li>
  <li>
    <p><a href=""https://www.office-zirka.com/CFU47/?fbclid=IwAR0sM6DRWzVj0-rl3x_WHh7wv8hlCoAtegZQ4Yygu1_Knwqn2wJ8ybIHqwk"">Веб-сторінка співачки Наталії Ґудзій</a></p>
  </li>
  <li><a href=""https://himawari-chiba.com/"">Захід  в підтримку України в місті Чіба 14-го травня</a></li>
</ul>
",2022-05-04
Кулінарний клас від НПО Краяни в перший день занять Нового 2022 року у школі Джерельце,"<p>Сьогодні перший урок в новому 2022 році в Українській школі
""Джерельце"". Він був незвичним і вдалим.</p>

<p></p>",cooking-class,uk,"<p>Сьогодні перший урок в новому 2022 році в Українській школі
""Джерельце"". Він був незвичним і вдалим.</p>

<p></p>

<p>Батьки та вчителі активно допомогли  НПО ""Краяни""  провести чудовий
святковий кулінарний клас. Смачнючі різдвяні страви зацікавили не тільки
японських гостей. Молоді українці, що проживають в Токіо і околицях,
також взяли участь та навчились приготуванню за рецептами, якими
поділились наші господині.</p>

<p>Неабияку цікавість викликали українські різдвяні атрибути - вертеп, різдвяний павук, дідух, якими прикрасили кімнату. А найбільш приємне здивування викликав наш сюрприз - учні та вчителі Джерельця заколядували гостей і, звичайно ж, отримали подарунки.</p>

<p>Всіх вітаємо з Новим роком та Різдвом! Щастя, здоров'я кожній славній родині та перемоги Україні!</p>
",2022-01-09
Ukrainian national costume exhibition was held in Tokyo,"<p>An exhibition of Ukrainian costumes was held on November 18-22 in the gallery of Bunka Gakuen in Tokyo. The exhibition presented 17 original costumes from 16 regions of Ukraine, as well as Rushnyk (embroidered cloth) from Central Ukraine.</p>

<p>This is...</p>",costume-2019,en,"<p>An exhibition of Ukrainian costumes was held on November 18-22 in the gallery of Bunka Gakuen in Tokyo. The exhibition presented 17 original costumes from 16 regions of Ukraine, as well as Rushnyk (embroidered cloth) from Central Ukraine.</p>

<p>This is just a small part of a large collection of Olena Skrypka, who has been collecting these costumes for 25 years from all regions of Ukraine. We are very glad that we could showcase this collection in Japan, feel the Ukrainian color and get acquainted with the regional features of the costumes.</p>

<p>According to the author of the collection, Olena Skrypka, she began to collect this collection because she felt an inner need to preserve and pass on to the next generations what was part of the identity for Ukrainians. The Ukrainian traditional costume carries the energy of generations and it is through it that you can see the bright and charming soul of the Ukrainian people. We must cherish and cherish this legacy in order to be one and strong nation.</p>

<p>A lecture was held during the exhibition about the particulars of the Ukrainian costume, masterclasses for making Motanka (rag doll), beading and embroidery classes.</p>

<p>This project was in preparation by the Ukrainian community in Japan for the last three years. We are very happy that this project has been realized thanks to the coordinated cooperation of the Embassy of Ukraine in Japan and Bunka Gakuen.</p>
",2019-11-25
Український фестиваль на станції Комае в Токіо,"<p>7 травня мерія міста Комае разом зі спільнотою українців в Японії НПО «Краяни» та <a href=""https://dzherelce.github.io/"">школою ""Джерельце""</a> провели Український фестиваль «Відчуй Україну».</p>

<p></p>",komae,uk,"<p>7 травня мерія міста Комае разом зі спільнотою українців в Японії НПО «Краяни» та <a href=""https://dzherelce.github.io/"">школою ""Джерельце""</a> провели Український фестиваль «Відчуй Україну».</p>

<p></p>

<p>Пані Марія евакуювалась із Запоріжжя до своєї доньки Наталі Лисенко, родина якої проживає в цьому місті. Шлях до Японії для літньої жінки був нелегких 7 днів.</p>
<br clear=""all"" /><img class=""main"" src=""/assets/images/news/2022-05-07-komae/komae1.jpg"" /><p>Дізнавшись про історію пані Марії мер міста Комае пан Мацубара запросив на зустріч познайомитись.</p>
<br clear=""all"" /><img class=""main"" src=""/assets/images/news/2022-05-07-komae/komae2.jpg"" /><p>В розмові запропонували пригостити його справжнім українським борщем. І проста ініціатива переросла в чудовий фестиваль з безкоштовною роздачею борщу на 500+ порцій, який приготували наші славні україночки за рецептом пані Марії, та квітів соняшників кожному відвідувачу.</p>
<br clear=""all"" /><img class=""main"" src=""/assets/images/news/2022-05-07-komae/komae3.jpg"" /><p>Місто заполонилось жовто-блакитними кольорами та повсюди радували око українські вишиванки, у які  були вбрані не тільки українці. Японці зі сльозами на очах висловлювали слова підтримки Україні, розкуповували українські сувеніри, виготовлені руками вчителів та батьків української недільної школи в Токіо «Джерельце», розпитували про Україну.</p><br clear=""all"" /><img class=""main"" src=""/assets/images/news/2022-05-07-komae/komae4.jpg"" /><p> Концерт не залишив байдужим жодного японця. Наші талановиті артисти своїми пронизливими виступами викликали багато емоцій та овацій. У цей день весь час лунала прекрасна українська музика, яка створювала настрій гостям та заряджала позитивною енергією.</p><br clear=""all"" /><img class=""main"" src=""/assets/images/news/2022-05-07-komae/komae5.jpg"" /><p>На фестивалі також великий інтерес у японців викликала виставка виробів українських народних ремесел --- мальовничі писанки та мотанки, косівська кераміка та традиційне українське вбрання. Японці із зацікавленістю дізнавалися більше про Україну , відповідаючи на питання вікторини та роздивляючись фотовиставку, промовисті світлини якої демонстрували Україну до початку війни та після російського вторгнення.</p><br clear=""all"" /><img class=""main"" src=""/assets/images/news/2022-05-07-komae/komae6.jpg"" /><p>У цей день невеличке японське місто Комае перетворилося на велику українсько-японську родину, де усі об'єдналися заради однієї мети --- щоб підтримати Україну, побажати перемоги і миру нашій рідній землі.</p><br clear=""all"" /><img class=""main"" src=""/assets/images/news/2022-05-07-komae/komae7.jpg"" /><p>Дякуємо мерії міста Комае за співпрацю та можливість долучитися до заходу і провести його на високому рівні, а також всім учасникам.</p><br clear=""all"" /><img class=""main"" src=""/assets/images/news/2022-05-07-komae/komae8.jpg"" /><P>Команда «Краян» та «Джерельця» --- ви неймовірні!!</P><p>Фестиваль за приблизним підрахунком відвідало біля 3000 жителів міста та гостей з інших куточків Японії! Виручені кошти від продажу сувенірів - 333 059 єн та зібрані пожертви 1 134&amp;nbsp824 єн будуть переказані на рахунки Краян та Амбасади України в Японії.</p>
<p>Переможемо! Все буде Україна!</p>",2022-05-07
第９回東京ヴィシヴァンカデー,"<p>２０２１年５月１６日、世界中で行われるキャンペーン「ヴィシヴァンカ（刺繡の入った民族衣装）を着て、ウクライナを応援しよう！」の参加のため、日本に住むウクライナ人が、第９回となる「ウクライナパレード・ヴィシヴァンカデー」に集まりました。</p>

<p></p>",parade-2021,ja,"<p>２０２１年５月１６日、世界中で行われるキャンペーン「ヴィシヴァンカ（刺繡の入った民族衣装）を着て、ウクライナを応援しよう！」の参加のため、日本に住むウクライナ人が、第９回となる「ウクライナパレード・ヴィシヴァンカデー」に集まりました。</p>

<p></p>

<p>NPO法人　日本ウクライナ友好協会Kraiany主催、在日ウクライナ大使館および、
ウクライナ正教会の後援を受け、「ウクライナパレード」は２０１３年の第１回
を皮きりに、毎年行われてきました。</p>

<p>今では、このイベントはウクライナ人やウクライナに興味のある参加者の交流の場となった上に、文化などの情報のもととして親しまれています。
しかし、今年の新型コロナウイルス感染状況では、通常のパレードを行えず、予防対策をしっかりとりながら、オープンエアーでの開催に切り替えました。
今年のイベントには、ウクライナ人はもちろん、日本人や他の国の人が参加し、横浜市関係者にもお越しいただきました。
参加者には、盛り沢山のプログラムが用意されていました。特に盛り上がったの
は、ヴィシヴァンカコンテストでしょう。自慢のウクライナ民族衣装をアピール
できたモデルの皆さん、とても嬉しそうでした。</p>

<p>恒例のダンスや民謡も、制限があったものの、楽しめました。</p>

<p>東京ウクライナ日曜学校Dzhereltseの生徒のインタビューに応じてくれた参加者
は、こう述べました。「今回は初めての参加ではない。このようなイベントはウ
クライナのことを知る貴重な機会で、これからも参加します。」</p>

<p>来年、パンデミックの終息を願って、通常の「ウクライナパレード」をまた開催
できること強く望んでいます。またウクライナの歌は東京中に響くだろう！</p>

<p>NPO法人　日本ウクライナ友好協会Kraiany　
報道　イホール・イエフトゥシュック
　　　オクサーナ・ピスクノーワ</p>
",2021-05-16
Двоє поранених військових прибули до Японії для лікування,"<p>Двоє поранених військових прибули до Японії для лікування. Ми дуже вдячні уряду Японії за прийом поранених героїв.</p>

<p></p>",rehabilitation,uk,"<p>Двоє поранених військових прибули до Японії для лікування. Ми дуже вдячні уряду Японії за прийом поранених героїв.</p>

<p></p>

<p>«НПО КРАЯНИ» надавали підтримку в оформленні візи, транспортування з України до Японії, госпітальному лікуванні в Японії тощо.</p>

<p>Ми й надалі будемо максимально підтримувати наших ""Котиків"", щоб реабілітація пройшла без проблем.</p>

<p><a href=""https://twitter.com/NPO_KRAIANY/status/1666947834971852800"">Twitter</a></p>

<p><img src=""/assets/images/news/2023-06-09-rehabilitation-d009677a.jpeg"" alt="""" /></p>
",2023-06-09
